"","factor","MeanDecreaseGini"
"161","SUM_LCOM2",35.6912171077365
"162","Mean_CCOM",34.2503357453097
"163","Mean_CCML",30.1411207391735
"164","Mean_HVOL",29.5510651197592
"165","SUM_HEFF",26.3640666080967
"166","SUM_HEFF",37.9665054002996
"167","Mean_HEFF",34.4024113405559
"168","SUM_LCOM2",28.9219014808653
"169","Mean_HVOL",33.0563035459999
"170","SUM_HEFF",30.6486764933324
"171","Mean_HEFF",28.9145853413458
"172","SUM_HEFF",36.351529993324
"173","SUM_AVCC",21.6257960659577
"174","SUM_EXT",18.4527568012879
"175","Mean_HEFF",60.9643910528314
"176","Mean_LCOM2",46.2773731582468
"177","SUM_COH",37.9970529455902
"178","Mean_CCML",35.3512195373079
"179","SUM_HEFF",31.7555907167348
"180","Mean_EXT",24.9379038611323
"181","SUM_HEFF",35.1272271336466
"182","Mean_HEFF",33.3458112758952
"183","SUM_AVCC",27.2467942223513
"184","Mean_HEFF",55.3465136804441
"185","Mean_LCOM2",44.5644303447512
"186","SUM_PACK",33.9760541575096
"187","SUM_HEFF",47.6213391381094
"188","Mean_HEFF",45.3002811017829
"189","SUM_PACK",31.8383620216579
"190","SUM_HEFF",33.3761895976782
"191","Mean_HEFF",32.2406290155894
"192","Mean_LCOM2",24.1863481002408
"193","Mean_HEFF",55.2664088041615
"194","Mean_LCOM2",44.737417166748
"195","SUM_COH",39.6762861656241
"196","Mean_HEFF",66.2715496798863
"197","Mean_LCOM2",52.8875916013079
"198","Mean_F.IN",41.0504870057963
"199","Mean_HEFF",57.7807394690742
"200","Mean_LCOM2",40.9300171075933
"201","SUM_PACK",30.7595709966836
"202","SUM_HEFF",33.8450975688669
"203","Mean_EXT",26.0612676621979
"204","SUM_AVCC",22.8666399431262
"205","Mean_HEFF",39.3258213999766
"206","SUM_AVCC",31.9614447771418
"207","SUM_LCOM2",25.6019199159787
"208","Mean_HEFF",52.0678991517052
"209","Mean_LCOM2",41.6599331108019
"210","SUM_PACK",31.5501514411623
"211","Mean_HEFF",36.3846924875866
"212","SUM_HEFF",34.577579078145
"213","Mean_LCOM2",23.5316292918373
"214","SUM_HEFF",36.7460717954992
"215","Mean_HEFF",35.7053290247164
"216","SUM_LCOM2",29.3819687552641
"217","Mean_HEFF",45.9129612494308
"218","Mean_LCOM",32.5492831511793
"219","Mean_LCOM2",29.320185656064
"220","Mean_HEFF",52.5976840796937
"221","Mean_LCOM",34.6591951666125
"222","Mean_LCOM2",34.5888458561168
"223","Mean_HEFF",46.159493118519
"224","Mean_LCOM",31.325148371087
"225","SUM_PACK",30.5617733934392
"226","Mean_HEFF",52.3202710882724
"227","Mean_LCOM",33.8582723475681
"228","SUM_COH",33.4205300101185
"229","Mean_CCML",39.5553231655402
"230","Mean_HEFF",34.5581390266489
"231","Mean_LCOM2",23.4007354402611
"232","Mean_HEFF",59.4379886309113
"233","Mean_LCOM2",47.5879772894597
"234","Mean_LCOM",37.116929979851
"235","SUM_HEFF",33.0192031911475
"236","Mean_HEFF",32.233098254381
"237","SUM_AVCC",27.5356174683188
"238","Mean_HEFF",60.1850879633487
"239","Mean_LCOM2",40.6422481289893
"240","Mean_LCOM",36.3049746190546
"241","Mean_HEFF",55.2708811339795
"242","Mean_LCOM2",39.6771338981871
"243","Mean_LCOM",33.0438944071344
"244","Mean_HEFF",50.0870822113896
"245","Mean_NQU",30.6203907515612
"246","Mean_LCOM",27.6260139082439
"247","Mean_HEFF",54.2790833213403
"248","Mean_LCOM2",43.7218645670258
"249","Mean_LCOM",35.1584218750768
"250","Mean_HEFF",69.7983300526467
"251","Mean_LCOM2",49.3171838747494
"252","SUM_COH",47.5661038524362
"253","Mean_HEFF",42.4954349581441
"254","SUM_LCOM2",28.9931419640832
"255","Mean_CCOM",27.2795306285224
"256","Mean_HEFF",48.8645112311149
"257","Mean_LCOM2",32.0847334865827
"258","Mean_F.IN",31.6491339150877
"259","Mean_HBUG",27.0653834805033
"260","Mean_CCML",26.7039531279721
"261","SUM_CCML",26.3737597413821
"262","Mean_HEFF",54.9836697880253
"263","Mean_LCOM",41.870932661971
"264","Mean_LCOM2",39.4521271518805
"265","Mean_HEFF",55.8770884080602
"266","Mean_LCOM2",47.7464115822824
"267","SUM_COH",34.2956394737863
"268","Mean_HEFF",56.3635029715657
"269","Mean_LCOM2",43.7450805272037
"270","Mean_COH",40.455345621311
"271","Mean_HEFF",51.2228537208599
"272","Mean_COH",32.8807655255175
"273","Mean_LCOM2",31.693741117801
"274","Mean_HEFF",61.1138364428943
"275","Mean_LCOM2",43.3876660337426
"276","SUM_PACK",38.2061551973703
"277","Mean_HEFF",53.6565023093092
"278","Mean_LCOM",33.2558084107702
"279","Mean_LCOM2",30.344926946039
"280","Mean_HEFF",53.9116390697634
"281","Mean_LCOM2",45.5826178698311
"282","Mean_LCOM",35.9054671164781
"283","SUM_HEFF",49.8697041297371
"284","Mean_HEFF",43.9788332609498
"285","Mean_LCOM2",30.9237401096897
"286","Mean_HEFF",57.8236377766744
"287","SUM_PACK",38.17321591351
"288","Mean_LCOM2",38.0759361065471
"289","Mean_HEFF",45.2906039820564
"290","Mean_CCOM",30.1775346524992
"291","SUM_LCOM2",28.4120991544085
"292","Mean_HEFF",40.8413162840026
"293","SUM_COH",26.5978612934657
"294","Mean_LCOM2",25.7579366798409
"295","SUM_HEFF",31.9431136985797
"296","Mean_HEFF",30.3676833670822
"297","SUM_LCOM2",27.529284877618
"298","Mean_HEFF",53.4944795328937
"299","Mean_LCOM2",36.4905813152805
"300","Mean_LCOM",33.5254391261334
