"","factor","MeanDecreaseGini"
"180","numChangeOperations",7.40875921957273
"181","MaxAge",9.24863656927447
"182","AvgAge",8.51706862098556
"183","numChangeOperations",6.70113473836424
"184","AvgAge",8.0205797379123
"185","MaxAge",7.89465003872354
"186","numChangeOperations",7.3149457640499
"187","AvgAge",9.18373750608356
"188","MaxAge",8.41762548074921
"189","effectiveNumOperations",6.79152072404454
"190","AvgAge",8.71152865891637
"191","MaxAge",8.29980178047155
"192","numChangeOperations",7.66246410351968
"193","MaxAge",8.62671373607402
"194","AvgAge",8.49684059508012
"195","numChangeOperations",7.54817297130581
"196","MaxAge",8.36424928398793
"197","AvgAge",7.77931021457455
"198","effectiveNumOperations",7.00873876369433
"199","MaxAge",8.5434983967205
"200","numChangeOperations",8.36312072266117
"201","AvgAge",8.19605383321555
"202","MaxAge",8.447836833567
"203","AvgAge",8.10242707186037
"204","AvgLastModified",7.07967948786668
"205","MaxAge",8.07898316157056
"206","AvgAge",7.93952706318053
"207","NumParents_depth_3",7.1513479402663
"208","MaxAge",8.62048972153772
"209","AvgAge",8.29944505197157
"210","numChangeOperations",7.44531789486889
"211","AvgAge",9.21252010314744
"212","MaxAge",8.80846578384725
"213","numChangeOperations",7.33993905691339
"214","AvgAge",9.04577063872286
"215","MaxAge",8.57650275218166
"216","numChangeOperations",6.92010975867388
"217","AvgAge",10.0419769141692
"218","MaxAge",8.77271420137652
"219","numChangeOperations",7.13253916422556
"220","AvgAge",9.05623201234953
"221","MaxAge",7.98372806893271
"222","effectiveNumOperations",6.72749376620041
"223","AvgAge",9.35207714265632
"224","MaxAge",8.78580211815249
"225","numChangeOperations",7.22497947379599
"226","AvgAge",9.00092526489194
"227","MaxAge",8.73607319724361
"228","numChangeOperations",7.56014232163501
"229","MaxAge",9.53188981510585
"230","AvgAge",8.98710574685614
"231","numChangeOperations",7.89602714808969
"232","AvgAge",8.84973353076893
"233","MaxAge",8.35112205230157
"234","numChangeOperations",7.29152792855489
"235","AvgAge",8.48966113468946
"236","MaxAge",8.05268794289952
"237","numChangeOperations",7.59846161667389
"238","AvgAge",8.25315680949957
"239","MaxAge",8.21798534228764
"240","numChangeOperations",7.61994064359492
"241","MaxAge",9.20010819155869
"242","AvgAge",9.09573658157921
"243","effectiveNumOperations",7.29500322432803
"244","AvgAge",8.65651603739195
"245","MaxAge",8.23340275602018
"246","numChangeOperations",6.82787061390666
"247","AvgAge",8.44940392098944
"248","MaxAge",8.09194958805817
