train,test,model,measure,Genealogy,Code
lucene,httpclient,rpart,precision,0.5454545,0
lucene,httpclient,svmRadial,precision,0.5340909,0
lucene,httpclient,treebag,precision,0.5737705,0
lucene,httpclient,knn,recall,0.4639175,0
lucene,httpclient,multinorm,recall,0.3195876,0
lucene,httpclient,randomForest,recall,0.3195876,0
lucene,httpclient,rpart,recall,0.371134,0
lucene,httpclient,svmRadial,recall,0.4845361,0
lucene,httpclient,treebag,recall,0.3608247,0
lucene,httpclient,knn,f-measure,0.4945055,0
lucene,httpclient,multinorm,f-measure,0.4161074,0
lucene,httpclient,randomForest,f-measure,0.4189189,0
lucene,httpclient,rpart,f-measure,0.4417178,0
lucene,httpclient,svmRadial,f-measure,0.5081081,0
lucene,httpclient,treebag,f-measure,0.443038,0
lucene,jackrabbit,knn,precision,0.6903846,0
lucene,jackrabbit,multinorm,precision,0.6744186,0
lucene,jackrabbit,randomForest,precision,0.6879795,0
lucene,jackrabbit,rpart,precision,0.6828794,0
lucene,jackrabbit,svmRadial,precision,0.6904422,0
lucene,jackrabbit,treebag,precision,0.6798144,0
lucene,jackrabbit,knn,recall,0.5165468,0
lucene,jackrabbit,multinorm,recall,0.1669065,0
lucene,jackrabbit,randomForest,recall,0.3870504,0
lucene,jackrabbit,rpart,recall,0.505036,0
lucene,jackrabbit,svmRadial,recall,0.6964029,0
lucene,jackrabbit,treebag,recall,0.4215827,0
lucene,jackrabbit,knn,f-measure,0.5909465,0
lucene,jackrabbit,multinorm,f-measure,0.2675894,0
lucene,jackrabbit,randomForest,f-measure,0.4953959,0
lucene,jackrabbit,rpart,f-measure,0.5806452,0
lucene,jackrabbit,svmRadial,f-measure,0.6934097,0
lucene,jackrabbit,treebag,f-measure,0.5204263,0
lucene,rhino,knn,precision,0.8050314,0
lucene,rhino,multinorm,precision,0.8709677,0
lucene,rhino,randomForest,precision,0.8474576,0
lucene,rhino,rpart,precision,0.8309859,0
lucene,rhino,svmRadial,precision,0.8071749,0
lucene,rhino,treebag,precision,0.8512397,0
lucene,rhino,knn,recall,0.6530612,0
lucene,rhino,multinorm,recall,0.1377551,0
lucene,rhino,randomForest,recall,0.255102,0
lucene,rhino,rpart,recall,0.3010204,0
lucene,rhino,svmRadial,recall,0.9183673,0
lucene,rhino,treebag,recall,0.5255102,0
lucene,rhino,knn,f-measure,0.7211268,0
lucene,rhino,multinorm,f-measure,0.2378855,0
lucene,rhino,randomForest,f-measure,0.3921569,0
lucene,rhino,rpart,f-measure,0.4419476,0
lucene,rhino,svmRadial,f-measure,0.8591885,0
lucene,rhino,treebag,f-measure,0.6498423,0
rhino,httpclient,knn,precision,0.554878,0.6336634
rhino,httpclient,multinorm,precision,0.5517241,0.6685393
rhino,httpclient,randomForest,precision,0.5672515,0.6476684
rhino,httpclient,rpart,precision,0.5672515,0.6243902
rhino,httpclient,svmRadial,precision,0.5672515,0.622549
rhino,httpclient,treebag,precision,0.5855263,0.6489362
rhino,httpclient,knn,recall,0.9381443,1
rhino,httpclient,multinorm,recall,0.6597938,0.9296875
rhino,httpclient,randomForest,recall,1,0.9765625
rhino,httpclient,rpart,recall,1,1
rhino,httpclient,svmRadial,recall,1,0.9921875
rhino,httpclient,treebag,recall,0.9175258,0.953125
rhino,httpclient,knn,f-measure,0.697318,0.7757576
rhino,httpclient,multinorm,f-measure,0.600939,0.7777778
rhino,httpclient,randomForest,f-measure,0.7238806,0.7788162
rhino,httpclient,rpart,f-measure,0.7238806,0.7687688
rhino,httpclient,svmRadial,f-measure,0.7238806,0.7650602
rhino,httpclient,treebag,f-measure,0.7148594,0.7721519
rhino,jackrabbit,knn,precision,0.6897622,0.7012876
rhino,jackrabbit,multinorm,precision,0.6822558,0.7066437
rhino,jackrabbit,randomForest,precision,0.6922311,0.7136485
rhino,jackrabbit,rpart,precision,0.6915423,0.6859903
rhino,jackrabbit,svmRadial,precision,0.6915423,0.6862903
rhino,jackrabbit,treebag,precision,0.693302,0.707811
rhino,jackrabbit,knn,recall,0.9597122,0.9589202
rhino,jackrabbit,multinorm,recall,0.7136691,0.9612676
rhino,jackrabbit,randomForest,recall,1,0.9389671
rhino,jackrabbit,rpart,recall,1,1
rhino,jackrabbit,svmRadial,recall,1,0.9988263
rhino,jackrabbit,treebag,recall,0.8489209,0.8615023
rhino,jackrabbit,knn,f-measure,0.8026474,0.810114
rhino,jackrabbit,multinorm,f-measure,0.697609,0.8145201
rhino,jackrabbit,randomForest,f-measure,0.8181283,0.8109478
rhino,jackrabbit,rpart,f-measure,0.8176471,0.8137536
rhino,jackrabbit,svmRadial,f-measure,0.8176471,0.8135755
rhino,jackrabbit,treebag,f-measure,0.76326,0.7771308
rhino,lucene,knn,precision,0.5437666,0.5461847
rhino,lucene,multinorm,precision,0.558209,0.544
rhino,lucene,randomForest,precision,0.5472637,0.5454545
rhino,lucene,rpart,precision,0.5459057,0.544
rhino,lucene,svmRadial,precision,0.5459057,0.544
rhino,lucene,treebag,precision,0.5415385,0.547651
rhino,lucene,knn,recall,0.9318182,1
rhino,lucene,multinorm,recall,0.85,1
rhino,lucene,randomForest,recall,1,1
rhino,lucene,rpart,recall,1,1
rhino,lucene,svmRadial,recall,1,1
rhino,lucene,treebag,recall,0.8,1
rhino,lucene,knn,f-measure,0.6867672,0.7064935
rhino,lucene,multinorm,f-measure,0.6738739,0.7046632
rhino,lucene,randomForest,f-measure,0.7073955,0.7058824
rhino,lucene,rpart,f-measure,0.70626,0.7046632
rhino,lucene,svmRadial,f-measure,0.70626,0.7046632
rhino,lucene,treebag,f-measure,0.6458716,0.707719
