"","TYPE","Mean_No..Methods","Mean_LCOM","Mean_AVCC","Mean_NOS","Mean_HBUG","Mean_HEFF","Mean_UWCS","Mean_INST","Mean_PACK","Mean_RFC","Mean_CBO","Mean_MI","Mean_CCML","Mean_NLOC","Mean_F.IN","Mean_DIT","Mean_MINC","Mean_S.R","Mean_R.R","Mean_COH","Mean_LMC","Mean_LCOM2","Mean_MAXCC","Mean_HVOL","Mean_HIER","Mean_NQU","Mean_FOUT","Mean_SIX","Mean_EXT","Mean_NSUP","Mean_TCC","Mean_NSUB","Mean_MPC","Mean_NCO","Mean_INTR","Mean_CCOM","Mean_HLTH","Mean_MOD","SUM_No..Methods","SUM_LCOM","SUM_AVCC","SUM_NOS","SUM_HBUG","SUM_HEFF","SUM_UWCS","SUM_INST","SUM_PACK","SUM_RFC","SUM_CBO","SUM_MI","SUM_CCML","SUM_NLOC","SUM_F.IN","SUM_DIT","SUM_MINC","SUM_S.R","SUM_R.R","SUM_COH","SUM_LMC","SUM_LCOM2","SUM_MAXCC","SUM_HVOL","SUM_HIER","SUM_NQU","SUM_FOUT","SUM_SIX","SUM_EXT","SUM_NSUP","SUM_TCC","SUM_NSUB","SUM_MPC","SUM_NCO","SUM_INTR","SUM_CCOM","SUM_HLTH","SUM_MOD"
"90b685311151dd49141743236615f5a0c03cef9f","RFE",-0.00193423597678917,0,0,-0.00386847195357834,-5.8027079303675e-05,-0.765957446808511,-0.00193423597678917,0,-0.00580270793036751,-0.00967117988394584,-0.00386847195357834,0.0384719535783366,0,-0.00967117988394584,-0.00193423597678917,0,0.00154738878143136,0,0,0,0,-0.00193423597678917,0,-0.170212765957447,0,-0.00193423597678917,-0.00193423597678917,0,-0.00773694390715667,0,-0.00193423597678917,0,-0.00773694390715667,0,0,0,-0.0425531914893617,0,-1,0,0,-2,-0.03,-396,-1,0,-3,-5,-2,19.89,0,-5,-1,0,0.800000000000011,0,0,0,0,-1,0,-88,0,-1,-1,0,-4,0,-1,0,-4,0,0,0,-22,0
"287d8394103db1b8b0ad74b0acde45e3259cfd61","RFE",-0.00191938579654511,0,-0.000767754318618042,-0.0249520153550864,-0.000307101727447217,-7.2842226487524,-0.00191938579654511,0,-0.00575815738963532,-0.0153550863723608,0,0.00971209213051823,-0.072936660268714,-0.0345489443378119,0,0,0.0306525911708253,0,0,0,0,-0.00191938579654511,-0.00191938579654511,-0.890326295585413,0,-0.00191938579654511,0,0,-0.0134357005758157,0,-0.00575815738963532,0,-0.0134357005758157,0,0,0,-0.174664107485605,0,-1,0,-0.4,-13,-0.16,-3795.08,-1,0,-3,-8,0,5.06,-38,-18,0,0,15.97,0,0,0,0,-1,-1,-463.86,0,-1,0,0,-7,0,-3,0,-7,0,0,0,-91,0
"7f04b88f12965175b9961b0442a2d03502d91e3c","RFE",0.00580270793036751,0.00154738878143133,0.00193423597678917,0.04642166344294,0.000522243713733075,23.777833655706,0.00773694390715667,0.00193423597678917,0.00193423597678917,0.0135396518375242,0.00386847195357834,0.0517601547388781,-0.0406189555125725,0.0696324951644101,0.00193423597678917,-0.00193423597678917,-0.0449516441005803,0,-0.000967117988394584,0.000638297872340426,0.00386847195357834,0.0135396518375242,0.00773694390715667,1.55914893617021,0,0.00386847195357834,0.00193423597678917,0,0.00773694390715667,-0.00193423597678917,0.0174081237911025,0,0.00773694390715667,0.00193423597678917,0.00193423597678917,0.00967117988394584,0.323017408123791,0,3,0.8,1,24,0.27,12293.14,4,1,1,7,2,26.76,-21,36,1,-1,-23.24,0,-0.5,0.33,2,7,4,806.08,0,2,1,0,4,-1,9,0,4,1,1,5,167,0
"420fc2604f026a8b464d97b987b158a9d32fc0c8","RFE",-0.00386847195357834,3.86847195357834e-05,-0.00129593810444874,-0.16247582205029,-0.00257253384912959,-294.069593810445,-0.00580270793036751,-0.00193423597678917,-0.00773694390715667,-0.02321083172147,0,0.0208123791102514,-0.0174081237911025,-0.226305609284333,0,0,0.0208123791102514,0,0,0,-0.00193423597678917,-0.0193423597678917,-0.0174081237911025,-7.69181818181818,0,-0.00386847195357834,0,0,-0.0193423597678917,0,-0.0425531914893617,0,-0.0193423597678917,0,0,-0.00193423597678917,-1.21083172147002,0,-2,0.02,-0.67,-84,-1.33,-152033.98,-3,-1,-4,-12,0,10.76,-9,-117,0,0,10.76,0,0,0,-1,-10,-9,-3976.67,0,-2,0,0,-10,0,-22,0,-10,0,0,-1,-626,0
"6b1ef7da2bf3a4970a9f9251065fdd5b2ebff02c","BUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162f3d6d9958bee8909e6a73aa93f8fb3691fc2e","RFE",-0.00386847195357834,0,7.73694390715667e-05,-0.0386847195357834,-0.000676982591876209,-14.1594777562863,-0.00386847195357834,0,-0.00967117988394584,-0.00580270793036751,0,-0.00264990328820114,0,-0.04642166344294,0,0,-0.00264990328820114,0,0,0,0,-0.00386847195357834,0,-2.04860735009671,0,0,0,0,-0.00193423597678917,0,-0.00386847195357834,0,-0.00193423597678917,-0.00386847195357834,0,0,-0.375241779497099,0,-2,0,0.04,-20,-0.35,-7320.45,-2,0,-5,-3,0,-1.36999999999999,0,-24,0,0,-1.36999999999999,0,0,0,0,-2,0,-1059.13,0,0,0,0,-1,0,-2,0,-1,-2,0,0,-194,0
"4f83ddb3e55e954c633fce3070ec6038b4b9523d","RFE",0.0213178294573643,0.0174418604651163,0.012015503875969,0.24031007751938,0.00372093023255814,200.085096899225,0.0387596899224806,0.0174418604651163,0.184108527131783,0.158914728682171,0.00775193798449612,0.664437984496124,0.0135658914728682,0.319767441860465,-0.00387596899224806,0.00775193798449612,0.624476744186046,0,0.000968992248062015,0,0,0.0213178294573643,0.0271317829457364,11.1544379844961,0.00193798449612403,0.0116279069767442,0.0116279069767442,0,0.137596899224806,0.00193798449612403,0.0445736434108527,0,0.137596899224806,0.00968992248062015,0.00193798449612403,0.00968992248062015,1.86240310077519,0.00581395348837209,11,9,6.2,124,1.92,103243.91,20,9,95,82,4,342.85,7,165,-2,4,322.23,0,0.5,0,0,11,14,5755.69,1,6,6,0,71,1,23,0,71,5,1,5,961,3
"9edd1acd4f9096d80e79408f729f50bef93a1462","BUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716b99b93c25b1df9e3dd7ce28fc860fe96ff91d","BUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae8e671030f2597c8a1c70662405cd14b35dc583","BUG",0,0,-0.000478927203065134,-0.00383141762452107,-9.57854406130268e-05,-13.2093295019157,0,0,0,0,0,0.000651340996168588,0,-0.00766283524904215,0,0,0.000651340996168588,0,0,0,0,0,-0.00191570881226054,-0.283275862068966,0,0,0,0,0,0,-0.00191570881226054,0,0,0,0,0,-0.0421455938697318,0,0,0,-0.25,-2,-0.05,-6895.26999999999,0,0,0,0,0,0.340000000000003,0,-4,0,0,0.340000000000003,0,0,0,0,0,-1,-147.87,0,0,0,0,0,0,-1,0,0,0,0,0,-22,0
